I;D
motility_egd_rt;980,9511478
motility_egd_rt;842,7893762
motility_egd_rt;541,6009875
motility_egd_rt;733,740399
motility_egd_rt;732,2935701
motility_egd_rt;538,9680834
motility_egd_rt;839,9769284
motility_egd_rt;831,224469
motility_egd_rt;1093,123399
motility_egd_rt;698,6106972
motility_egd_rt;1252,289144
motility_egd_rt;843,5110042
motility_egd_rt;902,1622486
motility_egd_rt;543,2396118
motility_egd_rt;600,1528721
motility_egd_rt;450,0361739
motility_egd_rt;891,0409244
motility_egd_rt;501,8793557
motility_egd_rt;877,1071302
motility_egd_rt;1114,385388
motility_egd_rt;458,6615508
motility_egd_rt;1139,361745
motility_egd_rt;537,064972
motility_egd_rt;961,3471115
motility_egd_rt;539,4353893
motility_egd_rt;674,8489016
motility_egd_rt;625,0477001
motility_egd_rt;594,6036164
motility_egd_rt;701,1913803
motility_egd_rt;109,1054699
motility_egd_rt;1062,127131
motility_egd_rt;1047,066545
motility_egd_rt;734,0867348
motility_egd_rt;506,3579083
motility_egd_rt;487,6692533
motility_egd_rt;1167,004164
motility_egd_rt;670,5015182
motility_egd_rt;616,5875043
motility_egd_rt;454,2286896
motility_egd_rt;507,1505218
motility_egd_rt;775,2975937
motility_egd_rt;848,166467
motility_egd_rt;877,2595725
motility_egd_rt;920,6983844
motility_egd_rt;710,2457222
motility_egd_rt;887,162588
motility_egd_rt;615,5644997
motility_egd_rt;551,0585465
motility_egd_rt;875,6955398
motility_egd_rt;514,0505305
motility_egd_rt;950,5094898
motility_egd_rt;608,3919947
motility_egd_rt;768,277666
motility_egd_rt;615,2012759
motility_egd_rt;544,0857989
motility_egd_rt;749,9946223
motility_egd_rt;699,4551062
motility_egd_rt;883,4842896
motility_egd_rt;1052,594491
motility_egd_rt;805,5028289
motility_egd_rt;716,6030972
motility_egd_rt;694,3704898
motility_egd_rt;832,4658477
motility_egd_rt;899,9471659
motility_egd_rt;1257,189912
motility_egd_rt;845,8602704
motility_egd_rt;567,7255426
motility_egd_rt;1143,378891
motility_egd_rt;367,4544722
motility_egd_rt;969,9800825
motility_egd_rt;740,7809802
motility_egd_rt;1098,729665
motility_egd_rt;876,8448073
motility_egd_rt;605,3930103
motility_egd_rt;779,8299695
motility_egd_rt;718,4876054
motility_egd_rt;913,8940594
motility_egd_rt;955,221444
motility_egd_rt;895,24717
motility_egd_rt;518,7291787
motility_egd_rt;1155,297917
motility_egd_rt;680,1004762
