Position,,,,,,,,,,Template for Motility Lab,,,time(sec) for experiment in cell O1 from input box,0.25,,,copy-paste columns S-X directly into 2ptrack,9,1,0.25,248.632,10.7085,0.1815
137.298,48.1888,0.1815,um,Spot,Position,1,1000000256,256,fill,257,1,0.25,137.298,48.1888,0.1815,,,264,1,0.25,257.174,49.3403,0.1815
287.187,48.9223,0.1815,um,Spot,Position,1,1000000261,261,fill,262,1,0.25,287.187,48.9223,0.1815,,,267,1,0.25,200.954,50.0833,0.1815
257.174,49.3403,0.1815,um,Spot,Position,1,1000000263,263,fill,264,1,0.25,257.174,49.3403,0.1815,,,270,1,0.25,74.1964,50.2602,0.1815
200.954,50.0833,0.1815,um,Spot,Position,1,1000000266,266,fill,267,1,0.25,200.954,50.0833,0.1815,,,273,1,0.25,112.904,51.1475,0.1815
74.1964,50.2602,0.1815,um,Spot,Position,1,1000000269,269,fill,270,1,0.25,74.1964,50.2602,0.1815,,,277,1,0.25,333.89,51.0273,0.1815
112.904,51.1475,0.1815,um,Spot,Position,1,1000000272,272,fill,273,1,0.25,112.904,51.1475,0.1815,,,278,1,0.25,27.3382,51.3473,0.1815
333.89,51.0273,0.1815,um,Spot,Position,1,1000000276,276,fill,277,1,0.25,333.89,51.0273,0.1815,,,281,1,0.25,18.1452,51.8397,0.1815
27.3382,51.3473,0.1815,um,Spot,Position,1,1000000277,277,fill,278,1,0.25,27.3382,51.3473,0.1815,,,282,1,0.25,124.506,51.7758,0.1815
18.1452,51.8397,0.1815,um,Spot,Position,1,1000000280,280,fill,281,1,0.25,18.1452,51.8397,0.1815,,,283,1,0.25,131.341,51.7616,0.1815
124.506,51.7758,0.1815,um,Spot,Position,1,1000000281,281,fill,282,1,0.25,124.506,51.7758,0.1815,,,289,1,0.25,353.38,53.3396,0.1815
131.341,51.7616,0.1815,um,Spot,Position,1,1000000282,282,fill,283,1,0.25,131.341,51.7616,0.1815,,,291,1,0.25,336.505,53.5973,0.1815
353.38,53.3396,0.1815,um,Spot,Position,1,1000000288,288,fill,289,1,0.25,353.38,53.3396,0.1815,,,293,1,0.25,142.118,54.1415,0.1815
336.505,53.5973,0.1815,um,Spot,Position,1,1000000290,290,fill,291,1,0.25,336.505,53.5973,0.1815,,,294,1,0.25,228.725,54.1292,0.1815
142.118,54.1415,0.1815,um,Spot,Position,1,1000000292,292,fill,293,1,0.25,142.118,54.1415,0.1815,,,301,1,0.25,215,55.4122,0.1815
228.725,54.1292,0.1815,um,Spot,Position,1,1000000293,293,fill,294,1,0.25,228.725,54.1292,0.1815,,,302,1,0.25,319.702,55.3548,0.1815
215,55.4122,0.1815,um,Spot,Position,1,1000000300,300,fill,301,1,0.25,215,55.4122,0.1815,,,304,1,0.25,180.527,56.0696,0.1815
319.702,55.3548,0.1815,um,Spot,Position,1,1000000301,301,fill,302,1,0.25,319.702,55.3548,0.1815,,,305,1,0.25,196.739,56.5216,0.1815
180.527,56.0696,0.1815,um,Spot,Position,1,1000000303,303,fill,304,1,0.25,180.527,56.0696,0.1815,,,313,1,0.25,127.365,57.5412,0.1815
196.739,56.5216,0.1815,um,Spot,Position,1,1000000304,304,fill,305,1,0.25,196.739,56.5216,0.1815,,,315,1,0.25,39.0754,57.9392,0.1815
127.365,57.5412,0.1815,um,Spot,Position,1,1000000312,312,fill,313,1,0.25,127.365,57.5412,0.1815,,,317,1,0.25,277.538,58.0449,0.1815
39.0754,57.9392,0.1815,um,Spot,Position,1,1000000314,314,fill,315,1,0.25,39.0754,57.9392,0.1815,,,318,1,0.25,101.503,58.4256,0.1815
277.538,58.0449,0.1815,um,Spot,Position,1,1000000316,316,fill,317,1,0.25,277.538,58.0449,0.1815,,,326,1,0.25,234.058,59.9935,0.1815
101.503,58.4256,0.1815,um,Spot,Position,1,1000000317,317,fill,318,1,0.25,101.503,58.4256,0.1815,,,330,1,0.25,329.695,60.4482,0.1815
234.058,59.9935,0.1815,um,Spot,Position,1,1000000325,325,fill,326,1,0.25,234.058,59.9935,0.1815,,,343,1,0.25,14.65,63.3778,0.1815
329.695,60.4482,0.1815,um,Spot,Position,1,1000000329,329,fill,330,1,0.25,329.695,60.4482,0.1815,,,351,1,0.25,216.708,64.287,0.1815
14.65,63.3778,0.1815,um,Spot,Position,1,1000000342,342,fill,343,1,0.25,14.65,63.3778,0.1815,,,358,1,0.25,320.15,65.52,0.1815
216.708,64.287,0.1815,um,Spot,Position,1,1000000350,350,fill,351,1,0.25,216.708,64.287,0.1815,,,360,1,0.25,240.291,65.9476,0.1815
320.15,65.52,0.1815,um,Spot,Position,1,1000000357,357,fill,358,1,0.25,320.15,65.52,0.1815,,,368,1,0.25,247.026,66.601,0.1815
240.291,65.9476,0.1815,um,Spot,Position,1,1000000359,359,fill,360,1,0.25,240.291,65.9476,0.1815,,,370,1,0.25,155.113,67.4739,0.1815
247.026,66.601,0.1815,um,Spot,Position,1,1000000367,367,fill,368,1,0.25,247.026,66.601,0.1815,,,382,1,0.25,202.263,69.4969,0.1815
155.113,67.4739,0.1815,um,Spot,Position,1,1000000369,369,fill,370,1,0.25,155.113,67.4739,0.1815,,,391,1,0.25,254.972,70.5516,0.1815
202.263,69.4969,0.1815,um,Spot,Position,1,1000000381,381,fill,382,1,0.25,202.263,69.4969,0.1815,,,392,1,0.25,31.9663,71.1422,0.1815
254.972,70.5516,0.1815,um,Spot,Position,1,1000000390,390,fill,391,1,0.25,254.972,70.5516,0.1815,,,409,1,0.25,260.908,74.2875,0.1815
31.9663,71.1422,0.1815,um,Spot,Position,1,1000000391,391,fill,392,1,0.25,31.9663,71.1422,0.1815,,,410,1,0.25,297.13,74.2819,0.1815
260.908,74.2875,0.1815,um,Spot,Position,1,1000000408,408,fill,409,1,0.25,260.908,74.2875,0.1815,,,413,1,0.25,197.804,74.5503,0.1815
