Position,,,,,,,,,,Template for Motility Lab,,,time(sec) for experiment in cell O1 from input box,0.25,,,copy-paste columns S-X directly into 2ptrack,8,1,0.25,295.338,258.637,0.1815
151.762,275.622,0.1815,um,Spot,Position,1,1000000105,105,fill,106,1,0.25,151.762,275.622,0.1815,,,122,1,0.25,297.962,278.862,0.1815
186.894,278.669,0.1815,um,Spot,Position,1,1000000117,117,fill,118,1,0.25,186.894,278.669,0.1815,,,127,1,0.25,294.243,279.888,0.1815
297.962,278.862,0.1815,um,Spot,Position,1,1000000121,121,fill,122,1,0.25,297.962,278.862,0.1815,,,128,1,0.25,323.379,280.086,0.1815
294.243,279.888,0.1815,um,Spot,Position,1,1000000126,126,fill,127,1,0.25,294.243,279.888,0.1815,,,132,1,0.25,439.408,280.307,0.1815
323.379,280.086,0.1815,um,Spot,Position,1,1000000127,127,fill,128,1,0.25,323.379,280.086,0.1815,,,133,1,0.25,207.489,281.253,0.1815
439.408,280.307,0.1815,um,Spot,Position,1,1000000131,131,fill,132,1,0.25,439.408,280.307,0.1815,,,140,1,0.25,274.164,282.158,0.1815
207.489,281.253,0.1815,um,Spot,Position,1,1000000132,132,fill,133,1,0.25,207.489,281.253,0.1815,,,144,1,0.25,424.081,282.798,0.1815
274.164,282.158,0.1815,um,Spot,Position,1,1000000139,139,fill,140,1,0.25,274.164,282.158,0.1815,,,147,1,0.25,264.708,283.475,0.1815
424.081,282.798,0.1815,um,Spot,Position,1,1000000143,143,fill,144,1,0.25,424.081,282.798,0.1815,,,153,1,0.25,390.526,284.145,0.1815
264.708,283.475,0.1815,um,Spot,Position,1,1000000146,146,fill,147,1,0.25,264.708,283.475,0.1815,,,155,1,0.25,304.406,284.747,0.1815
390.526,284.145,0.1815,um,Spot,Position,1,1000000152,152,fill,153,1,0.25,390.526,284.145,0.1815,,,159,1,0.25,459.257,285.443,0.1815
304.406,284.747,0.1815,um,Spot,Position,1,1000000154,154,fill,155,1,0.25,304.406,284.747,0.1815,,,161,1,0.25,370.181,285.872,0.1815
459.257,285.443,0.1815,um,Spot,Position,1,1000000158,158,fill,159,1,0.25,459.257,285.443,0.1815,,,162,1,0.25,418.013,285.75,0.1815
370.181,285.872,0.1815,um,Spot,Position,1,1000000160,160,fill,161,1,0.25,370.181,285.872,0.1815,,,168,1,0.25,254.613,287.472,0.1815
418.013,285.75,0.1815,um,Spot,Position,1,1000000161,161,fill,162,1,0.25,418.013,285.75,0.1815,,,171,1,0.25,315.634,288.157,0.1815
254.613,287.472,0.1815,um,Spot,Position,1,1000000167,167,fill,168,1,0.25,254.613,287.472,0.1815,,,172,1,0.25,230.45,288.419,0.1815
315.634,288.157,0.1815,um,Spot,Position,1,1000000170,170,fill,171,1,0.25,315.634,288.157,0.1815,,,177,1,0.25,381.824,289.17,0.1815
230.45,288.419,0.1815,um,Spot,Position,1,1000000171,171,fill,172,1,0.25,230.45,288.419,0.1815,,,183,1,0.25,438.517,290.705,0.1815
381.824,289.17,0.1815,um,Spot,Position,1,1000000176,176,fill,177,1,0.25,381.824,289.17,0.1815,,,185,1,0.25,283.345,291.902,0.1815
438.517,290.705,0.1815,um,Spot,Position,1,1000000182,182,fill,183,1,0.25,438.517,290.705,0.1815,,,186,1,0.25,294.458,291.957,0.1815
283.345,291.902,0.1815,um,Spot,Position,1,1000000184,184,fill,185,1,0.25,283.345,291.902,0.1815,,,189,1,0.25,287.16,292.832,0.1815
294.458,291.957,0.1815,um,Spot,Position,1,1000000185,185,fill,186,1,0.25,294.458,291.957,0.1815,,,192,1,0.25,263.685,293.222,0.1815
287.16,292.832,0.1815,um,Spot,Position,1,1000000188,188,fill,189,1,0.25,287.16,292.832,0.1815,,,193,1,0.25,432.555,293.074,0.1815
263.685,293.222,0.1815,um,Spot,Position,1,1000000191,191,fill,192,1,0.25,263.685,293.222,0.1815,,,199,1,0.25,199.526,293.848,0.1815
432.555,293.074,0.1815,um,Spot,Position,1,1000000192,192,fill,193,1,0.25,432.555,293.074,0.1815,,,202,1,0.25,307.004,294.407,0.1815
199.526,293.848,0.1815,um,Spot,Position,1,1000000198,198,fill,199,1,0.25,199.526,293.848,0.1815,,,204,1,0.25,489.51,294.399,0.1815
307.004,294.407,0.1815,um,Spot,Position,1,1000000201,201,fill,202,1,0.25,307.004,294.407,0.1815,,,209,1,0.25,151.003,295.718,0.1815
489.51,294.399,0.1815,um,Spot,Position,1,1000000203,203,fill,204,1,0.25,489.51,294.399,0.1815,,,214,1,0.25,483.451,295.739,0.1815
151.003,295.718,0.1815,um,Spot,Position,1,1000000208,208,fill,209,1,0.25,151.003,295.718,0.1815,,,215,1,0.25,280.762,296.61,0.1815
483.451,295.739,0.1815,um,Spot,Position,1,1000000213,213,fill,214,1,0.25,483.451,295.739,0.1815,,,216,1,0.25,190.717,297.071,0.1815
280.762,296.61,0.1815,um,Spot,Position,1,1000000214,214,fill,215,1,0.25,280.762,296.61,0.1815,,,217,1,0.25,231.902,296.971,0.1815
